Entity;Code;Year;average_years_of_education;GDP;Population;Continent
Sao Tome and Principe;STP;2020;;3507.3613;217449;
Saudi Arabia;SAU;2020;9.86;44770.91;30991205;
Senegal;SEN;2020;4.4;3384.442;16789215;
Serbia;SRB;2020;11.72;18262.799;6907817;
Seychelles;SYC;2020;;26704.926;120299;
Sierra Leone;SLE;2020;4.99;1586.355;7912558;
Singapore;SGP;2020;13.06;94910.1;5620150;
Sint Maarten (Dutch part);SXM;2020;;36991.777;41026;
Slovakia;SVK;2020;13.14;30960.959;5455028;
Slovenia;SVN;2020;12.06;37155.023;2102419;
Solomon Islands;SLB;2020;;2469.1743;744507;
Somalia;SOM;2020;;1456.6559;16651200;
South Africa;ZAF;2020;10.47;12866.569;60562374;
South America;;2020;8.909957;;426213551;
South America (excl. Brazil);;2020;;;219176224;
South Asia (WB);;2020;;5937.8115;;
South Korea;KOR;2020;13.68;42396.76;51858480;
South Sudan;SSD;2020;;;10698470;
Spain;ESP;2020;11.51;36051.418;47679482;
Sri Lanka;LKA;2020;10.33;12939.44;22561807;
Sub-Saharan Africa (WB);;2020;;3665.7354;;
Sudan;SDN;2020;4.38;3874.8003;46789237;
Suriname;SUR;2020;;15328.997;612322;
Svalbard and Jan Mayen;SJM;2020;;;2400;
Sweden;SWE;2020;11.93;51331.28;10353680;
Switzerland;CHE;2020;12.97;67928.195;8640582;
Syria;SYR;2020;7.92;;21049428;
Taiwan;TWN;2020;12.76;;23663460;
Tajikistan;TJK;2020;10.12;3651.9426;9749310;
Tanzania;TZA;2020;6.87;2552.5469;60972801;
Thailand;THA;2020;9.32;16865.549;71641484;
Togo;TGO;2020;7.68;2058.565;8669722;
Tokelau;TKL;2020;;;2152;
Tonga;TON;2020;11.42;6357.07;105719;
Trinidad and Tobago;TTO;2020;11.28;23392.992;1481026;
Tunisia;TUN;2020;9.29;10040.124;11974058;
Turkey;TUR;2020;8.49;28726.191;86091691;
Turkmenistan;TKM;2020;;14269.641;6949915;
Turks and Caicos Islands;TCA;2020;;18474.865;44404;
Tuvalu;TUV;2020;;4577.966;10423;
Uganda;UGA;2020;6.69;2240.4902;44457149;
Ukraine;UKR;2020;10.82;12407.79;44680009;
United Arab Emirates;ARE;2020;9.57;67668.29;9448529;
United Kingdom;GBR;2020;12.9;41895.824;67351860;
United States;USA;2020;13.32;60158.91;339436157;
United States Virgin Islands;VIR;2020;;;87724;
Upper-middle-income countries;;2020;;16490.66;2817793595;
Uruguay;URY;2020;8.76;22073.375;3398967;
Uzbekistan;UZB;2020;;7407.7275;33586372;
Vanuatu;VUT;2020;;2848.9702;298868;
Vatican;VAT;2020;;;536;
Venezuela;VEN;2020;9.33;;28444078;
Vietnam;VNM;2020;8.35;10450.621;98079196;
Wallis and Futuna;WLF;2020;;;11640;
Western Sahara;ESH;2020;;;549372;
World;OWID_WRL;2020;8.840671;16213.376;7887001284;
Yemen;YEM;2020;5.56;;36134868;
Zambia;ZMB;2020;8.37;3183.651;19059395;
Zimbabwe;ZWE;2020;8.32;1990.3195;15526888;
